,축제명,주소,연락처,시작일,종료일,위도,경도
12,감물 및 봉숭아 물들이기 체험행사 2020,제주특별자치도 서귀포시 표선면 민속해안로 631-34,064-787-4501,2020-07-24,2020-08-02,33.3213162956,126.8431022619
13,감악문화축제 2019,경기도 양주시 남면 감악산로244번길 189,"031-867-5683, 031-8082-7572",2019-09-08,2019-09-08,37.8931800166,126.9738399010
14,감악산 해맞이 2020,경상남도 거창군 신원면,010-2712-4482,2020-01-01,2020-01-01,35.5953250627,127.9274012896
15,갓바위소원성취축제 2019,경산시 와촌면 대한리 갓바위 공영주차장,053-851-0022,2019-08-31,2019-09-01,35.9781440703,128.7573259398
16,강남페스티벌 가로수길 그래피티 낙서해봐 2019,서울특별시 강남구 도산대로13길,02-576-5313,2019-09-28,2019-09-28,37.5186022892,127.0234738367
17,강동선사문화축제 2019,서울특별시 강동구 올림픽로 875,02-3425-5240,2019-10-11,2019-10-13,37.5606243328,127.1303240272
18,강동톡페스티벌 2019,서울특별시 강동구 상암로 168,"강일 427-4004, 성내 471-0044, 해공 478-9656, 암사 429-0476, 천호 488-7223",2019-11-02,2019-11-02,37.5457151498,127.1412123500
19,강릉 관노가면극 2019,강원도 강릉시 율곡로3139번길 24,-,2019-04-13,2019-11-03,37.7782679956,128.8766149376
20,강릉 단오제 2020,강원도 강릉시 단오장길 1,033-641-1593,2020-06-21,2020-06-28,37.7482134974,128.8950169869
21,강릉 문화재야행 2020,강원도 강릉시 임영로131번길 6,033-823-3213,2020-09-10,2020-09-12,37.7532267491,128.8920698750
22,강릉 소금강산채마을 산채푸드페스티벌 2019,강원도 강릉시 연곡면 소금강길 8,033-660-3152,2019-05-25,2019-05-26,37.8493286048,128.7025117835
23,강릉 커피나무축제 2019,강원도 강릉시 왕산면 왕산로 2171-19,"033-655-6644, 033-652-5599",2019-05-30,2019-06-02,37.6522391209,128.7848937448
24,강릉 하트불꽃크루즈 2020,강원도 강릉시 주문진읍 해안로 1730,1522-8905,2020-01-01,2020-12-31,37.8895291758,128.8285935985
25,강릉 K-POP콘서트 2019,강원도 강릉시 종합운동장길 69,033-640-2018,2019-10-04,2019-10-04,37.7737772578,128.8976131841
26,강릉국제영화제(GIFF) 2019,강원도 강릉시 종합운동장길 84,033-647-6807,2019-11-08,2019-11-14,37.7716996777,128.8954273345
27,강릉빙상스포츠페스티벌 2019,강원도 강릉시 종합운동장길 32,070-7791-3165,2019-08-15,2019-08-18,37.7737410517,128.8925247549
28,강릉소금강청학제 2019,강원도 강릉시 연곡면 삼산리 56,연곡면사무소 033-660-3681~2,2019-10-12,2019-10-13,37.8136133361,128.7044765951
29,강북구 근현대사 역사탐방여행 2019,서울특별시 강북구 화계사길 117,02-761-2588,2019-04-13,2019-10-20,37.6325109780,127.0070665450
30,강북구 산악문화제 2019,서울특별시 강북구 우이동 186-5,02-901-6227,2019-09-21,2019-09-21,37.6615103869,127.0072768111
31,"강우방선생과 함께하는 한국회화의 금자탑, 민화 읽는 법 2019",광주광역시 북구 하서로 110국립광주박물관,062-570-7068,2019-08-28,2019-08-28,35.1890917442,126.8830624113
32,강원 국제 모터페스타 2019,강원도 인제군 기린면 상하답로 130,02-6740-7860,2019-08-31,2019-09-01,38.0012086833,128.2950634635
33,강원 산나물한마당축제 2019,강원도 춘천시 평화로 1,033-255-5458,2019-04-26,2019-04-28,37.8855029718,127.7215607554
34,"강원과학기술대축전, 강원 지식재산 페스티벌 2019",강원도 춘천시 서면 박사로 882,070-7005-6870,2019-09-06,2019-09-07,37.8951540906,127.6927991992
35,강원그린박람회 2019,강원도 춘천시 평화로 26,033-260-9320,2019-06-14,2019-06-16,37.8813589518,127.7184944906
36,강진 영랑문학제 2019,전라남도 강진군 강진읍 영랑생가길 15,영랑기념사업회 061-434-0103,2019-04-26,2019-04-27,34.6420874867,126.7652585191
37,강진만 춤추는 갈대축제 2020,전라남도 강진군 강진읍 남당로 97-111,061-430-3352,2020-10-23,2020-11-01,34.6201595364,126.7739666192
38,강진청자축제 2020,전라남도 강진군 대구면 청자촌길 33,061-430-3352,2020-10-08,2020-10-13,34.5075226164,126.8011114048
39,강화 문화재 야행 2020,인천 강화군 강화읍 관청리,"032-930-3515, 032-932-5464",2020-09-11,2020-09-12,37.7487881453,126.4855748369
40,강화 빙어축제 2020,인천광역시 강화군 송해면 전망대로423번길 161,032-933-3266,2019-12-21,2020-02-20,37.8001841894,126.4438577810
41,"강화도 빙어, 송어 축제 2020",인천광역시 강화군 내가면 고비고개로741번길 37-30,032-933-1366,2019-12-14,2020-03-01,37.7202402100,126.4136461171
42,강화도 송어빙어축제 2020,인천광역시 강화군 양도면 중앙로787번길 8-2,"010-6664-4354, 010-7617-6606",2019-12-21,2020-03-01,37.6984402831,126.4312173349
43,강화섬포도축제 2019,"인천광역시 강화군 길상면 초지리 1375-1, 초지대교 앞",032-930-4140,2019-09-21,2019-09-22,37.6264420922,126.5307380038
44,개천절 대제전 2019,서울특별시 종로구 인왕산로 22,02-736-6375,2019-10-03,2019-10-03,37.5758807095,126.9657719166
45,개화산 해맞이 2020,서울특별시 강서구 개화동,02-2600-6455,2020-01-01,2020-01-01,37.5821048853,126.8047169862
46,거문도백도 은빛바다축제 2019,전남 여수시 삼산면 거문리,1899-2012,2019-08-02,2019-08-04,34.0249238346,127.3106896352
47,거제 대구 수산물축제 2019,경상남도 거제시 장목면 외포5길 34,055-369-4273,2019-12-21,2019-12-22,34.9396463829,128.7194799643
48,거제 바다로세계로 2019,경상남도 거제시 계룡로11길 26,055-639-4784,2019-08-01,2019-08-04,34.8829397876,128.6184763736
49,거제 어린이 축제 2019,경상남도 거제시 계룡로11길 26,055-639-3823,2019-05-05,2019-05-05,34.8829397876,128.6184763736
